responsable de carga,inventario,n de ficha,titulo,ubicación,sector,sala,caja,SERIES,clasificaci,descripción,dimenciones,materiales,autor,observación,año,fotografia,Fecha de carga,Ancho,Alto,Profundo,diámetro,Estado de conservación,n de inventario anterior,seguimiento,link-fotografias,sobre
JUL S,936,7456,INDIOS QUE POBLABAN LA REGION MERIDIONAL DE AMERICA DEL SUD,,17D,,,,tabla policromada,PICTOGRAMA CON IMAGEN A COLOR DE MAPA QUE ABARCA LA REPUBLICA ARGENTINA Y PAISES LIMITROFES CON LA DISTRIBUCION DE LOS PUEBLOS ORIGINARIOS QUE HABITABAN EL TERRITORIO,65X44,MADERA,,presenta colonia de xilofagos 10-09-2019,,1,2021-03-10,44,65,"2,5",,Regular,158,True,https://drive.google.com/drive/folders/1SIVoi6RNwidVaAutSL3WnHgzLxkO5JCF?usp=sharing,
JUL S,937,7457,"INDEPENDENCIA, DIVISION… 1810 A 1947(CAMPAÑAS DE BELGRANO)",,17D,,,,tabla policromada,PICTOGRAMA CON IMAGEN A COLOR DE MAPA QUE ABARCA DIVISION POLITICA DE LA ARGENTINA CON RECORRIDOS DEL EJERCITO DE MANUEL BELGRANO Y LUGARES DE ENFRENTAMIENTO- PRESENTA UN CARTEL DE CARTULINA NEGRA ADHERIDO CON CINTA DE PAPEL TAPANDO LA REFERENCIA ORIGINAL,65X44,,,,,1,2011-06-15,44,65,,,Regular,124,False,https://drive.google.com/drive/folders/1ymid-d3fci46wXzDC9tCe0T6qAI1T99l?usp=sharing,
JUL S,938,7458,peregrinos de Itati -Corrientes,,18A,,,Museo Bernasconi,tabla policromada,PICTOGRAMA CON IMAGEN A COLOR DE CARAVANAS DE TRES CARRETAS Y JINETES CON DOS BANDERAS ARGENTINAS ATRAVESANDO EL CAMPO,27X35,"madera,pintura",,"Presenta herraje en el sectro superior central del reverso.
Presenta alabeo.
Presenta etiqueta con la inscripción en grafito ¨60¨en el sectro superior izquierdo del reverso.
Presenta la inscripción en grafito ¨peregrinos de Itatí¨ en el reverso.
Presenta dos inciciones en el sectro derecho del reverso.(posiblemente de clavo)
Presenta una incición en el sectro izquierdo del reverso.(posiblemente de clavo)",,1,2011-06-15,35,27,"0,6",,Bueno,60,False,https://drive.google.com/open?id=1GueLGLEvpUOrCClRGN-Pdgbf5-3-XGtr&authuser=museo.bernasconi%40bue.edu.ar&usp=drive_fs,
JUL S,939,7459,SIERRAS DEL TANDIL,sector 19B,,,,,tabla policromada,PICTOGRAMA CON IMAGEN A COLOR DE PAISAJE ROCOSO CON PARTE DE CIELO CELESTE- PRESENTA GRIETAS VERTICALES- FALTANTE DE MARCO LATERAL IZQUIERDO,32X41,,,,,1,2011-06-15,41,32,,,Malo,,False,https://drive.google.com/drive/folders/1SFu2OHk_SX98rOCeOKT3SA0ayG-IVri8?usp=sharing,
L.L.R,940,7460,SALA DONDE SE JURÓ LA INDEPENDENCIA,,18A,,,,tabla policromada,"TACO EN GRABADO CON IMAGEN BLANCO Y NEGRO  DE SALA DONDE SE JURO LA INDEPENDIENCIA, APARECE UNA PERSONA DELANTE DE LA FACHADA",23X29,"madera, pintura",KARL NOISTERNIGG,"Marco dorado, presenta cisura en el sector superior central de 1cm x 0,5cm. Presenta marcación por golpe en el sector superior central de 5cmx2cm. Presenta marcación por golpe en el sector inferior izquierdo de 5mm. En el dorso presenta etiqueta de inventario pegada con la inscripción ""146"". Presenta abración en el sector central.Presenta en el sector inferior izquierdo tres fisuras de 1cm cada una. Presenta en el sector inferior derecho tres fisuras de 1cm",,1,2017-06-30,29,23,,,Bueno,146,False,https://drive.google.com/drive/folders/1vCcHwiET8-_lZCF8cIINQMHgdPashubJ?usp=sharing,
R.C.,941,7461,EL GAUCHO Y SU MUJER,,16A,,,,laminas,"LAMINA EN COLOR ENMARCADA DE MADERA GAUCHO Y SU MUJER DELANTE DE SU RANCHO DE PAJA Y BARRO, EN LA PARTE INTERIOR DE LA VIVIENDA DOS PERSONA  Y DOS PALOMA SOBRE EL TECHO. ENMARCADO DEFECTUOSO.",40X48,,,Enmarcado con vidrio. Faltante de cartón en todos sus laterales.,,1,2017-06-29,48,40,,,Bueno,,False,,
FER.V,942,7462,RETRATO DE MANUELA   ROSAS,,20B,,,,laminas,LAMINA A COLOR CON ENMARCADA EN MADERA DE MADERA DE MANUELA ROSAS CON VESTIDO ROJO DE PIE JUNTO UNA MESA CON UN FLORERO,54X40cm,"MADERA, VIDRIO Y PAPEL",,,,1,2011-06-15,40,54,,,Bueno,,False,https://drive.google.com/drive/folders/1SCComwFAsZ6j5un-rp1OghUGnid-oPpd?usp=sharing,
FER.V,943,7463,PROCLAMA A LA JUVENTUD,,19A,,,,tabla policromada,CUADRO EN MADERA PINTADO DE NEGRO CON LETRAS BLANCAS DE LA PROCLAMA A LA JUVENTUD- DEL DOCTOR JUAN B. ALBERDI,20X45,madera,,,,1,2011-06-15,45,20,,,Bueno,,False,https://drive.google.com/drive/folders/1tipPGl151LiI3NZK_99zvIOnR0CsYetQ?usp=sharing,
E.S.,944,7464,RETRATO DE JUAN BAUTISTA ALBERDI,,20B,,,,ilustraciones,LAMINA EN BLANCO Y NEGRO CON MARCO DE MADERA DE JUAN BAUTISTA ALBERDI,"44,5x42,5cm","MADERA, VIDRIO Y PAPEL",,,,1,2019-04-03,"42,5","44,5",,,Bueno,,False,https://drive.google.com/drive/folders/1ym8qC8jhbd7VN6UYBd-Mj5rwsRiVaGmo?usp=sharing,
L.P,945,7465,MOSQUITOS,sector 19B,,,,,tabla policromada,"CUADRO DE MADERA  A COLOR DE CUATRO MOSQUITO, SIMULANDO LA ESCENA DENTRO DEL CONSULTORIO MEDICO.

---fauna",30X60,"MADERA, pintura",,,,1,2011-06-15,60,30,,,Bueno,,False,https://drive.google.com/drive/folders/1S5B56cXXHdV6afou11ydEu-C5_jTwM1y?usp=sharing,
FER.V,946,7466,RETRATO DE GUILLERMO BROWN,,18B,,,,tabla policromada,"RETRATO DE GUILLERMO BROWN


----procer, historia",28X24,MADERA,,,,1,2011-06-15,24,28,,,Bueno,,False,https://drive.google.com/drive/folders/1S5B56cXXHdV6afou11ydEu-C5_jTwM1y?usp=sharing,
Jonathan Mayán,947,7467,RETRATO DE Carlos MARIA DE ALVEAR,,18B,,,,tabla policromada,retrato en  BLANCO Y NEGRO  DE CARLOS M. DE ALVEAR,28X25,madera,KARL NOISTERNIGG,"marcacion por golpe en el sector superior central de 3 cm x 2 cm; marcacion por golpe en el sector central superior de 6 x 2 cm; marcacion por  golpe en el sector superior derecho de 5 x 1 cm; marcacion por golpe en el sector central izquierdo de 9 x 1 cm, marcacion por golpe en el sector central inferior, de 4 x 1 cm, marcacion por golpe en el sector inferior derecho de 4 x 1 cm; inscripcion en tiza en el dorzo "" 5""; la superficie total del dorso presenta abracion; 2 agujeros de 1mm de diametro en el sector superior central del dorzo: 1 agujero de 1 mm de diametro en el sector scentral del dorzo; 3 agujeros de 1 mm de diametro en el sector inferior central del dorzo. Cisura de 2 cm en el seector inferior derecho del dorso; fisura de 3 cm en el sector superior izuierdo del dorso.",,1,2017-06-28,25,28,,,Bueno,5,False,https://drive.google.com/drive/folders/1v0ksN3pmL6nmN9KbtQNuiGGL5fBTxBps?usp=sharing,
FER.V,948,7468,RETRATO DE MANUEL BELGRANO,,,sala8,,,taco grabado,"TACO DE MADERA  RETRATO MANUEL BELGRANO, PATINADO CON ESMALTE SINTETICO BLANCO",30X23,,,,,1,2011-06-15,23,30,,,Malo,11,False,,
FER.V,949,7469,RETRATO DE JUAN JOSE CASTELLI,,,sala8,,,taco grabado,TACO DE MADERA  EN BLANCO Y NEGRO DE RETRATO JUAN JOSE CASTELLI,30X23,,,,,1,2011-06-15,23,30,,,Bueno,18,False,,
MC,950,7470,RETRATO DE MARIANO MORENO,,17C,,,,taco grabado,"IMAGEN EL ROSTRO DE MARIANO MORENO.

Procer",30X23,"linoleo, madera",,"Presenta 41 galerías de xilófagos en estado larval activos, en el sector superior del dorso presenta la inscripción en tinta ""Mariano Moreno""",,1,2017-06-26,23,30,,,Malo,51,True,https://drive.google.com/drive/folders/1RxQ1Xoaq_MmojWteOYE7aY0NowM1WBl3?usp=sharing,
E.S.,951,7471,CUADERNO DE COMUNICACIONES CLAUDIO VIVANCO,,21F,sala6,69.0,,elementos escolares,Cuadermo de claudio vivanco de comunicaciones del año 1984 de color rojo,33x21cm,PAPEL Y CARTON,,Presenta oxidacion de las hojas,,1,2018-12-07,21,33,,,Regular,,False,,
E.S.,952,7472,CUADERNO 4° B CLAUDIO VIVANCO INGLES,,21F,sala6,69.0,,elementos escolares,Cuadermo de 4° grado B de claudio Vivanco de inlges de la escuela Armada Argentina N° 5 DE 21 de 1981,"32,5x21cm",PAPEL Y CARTON,,Presenta oxidacion y humedad.,,1,2018-12-07,21,"32,5",,,Regular,,False,,
JUL S,953,7473,PATRICIOS DE SALTA,,,,,,ilustraciones,"LAMINA ENMARCADA EN MADERA CON IMÁGENES A COLOR DE PATRICIOS DE SALTA 1810, SARGENTO DE PARDOS Y MORENOS 1810, GUARDIA CIVICA DE BUENOS AIRES 1812 Y PATRICIOS DE SANTIAGO 1810-""SERIE DE UNIFORMES MILITARES, DESDE LA CONQUISTA HASTA 1853""- E. MARENCO- 1966",38X27,,,,,1,2011-06-17,27,38,,,Bueno,,False,,
JUL S,954,7474,PISTOLA DE CHISPA,,,,,,ilustraciones,"LAMINA ENMARCADA EN MADERA CON IMÁGENES A COLOR DE PISTOLA DE CHISPA, 1807, HUSARES DE PUEYRREDON(1806-1807), DE MIGUELETES Y DE ARTILLEROS-""SERIE DE UNIFORMES MILITARES, DESDE LA CONQUISTA HASTA 1853""- E. MARENCO- 1966",38X27,,,,,1,2011-06-17,27,38,,,,,False,,
B.M,955,7475,LAMINA CONQUISTADOR ESPAÑOL,,19E,,,,ilustraciones,"lamina enmarcada con vidrio, con imagen de conquistador español, siglo XVII, es oficio de cavalgar y moderarse, le da el caballo al caballero en significacion de la nobleza para que cavalgue más alto que los demás hombres y sea visto desde más lejos y más",38x17 cm,madera vidrio y cartón,"e Marenco, productos el Gaita",,1966,1,2017-11-30,17,38,,,Bueno,,False,,
JUL S,956,7476,OFICIAL DEL 4º ESCUADRON DE CAZADORES 1806-1807,,,,,,ilustraciones,"LAMINA ENMARCADA A COLOR CON IMAGEN DE OFICIAL DEL 4º ESCUADRON DE CAZADORES, 1806-1807, DE PARDOS, DE LOS NIÑOS DE ARTILLERIA, ""SERIE DE UNIFORMES MILITARES, DESDE LA CONQUISTA HASTA 1853""- E. MARENCO- 1966",38X27,,,,,1,2011-06-17,27,38,,,Bueno,,False,,
JUL S,957,7477,GRANADEROS A CABALLO 1812,,20A,,,,ilustraciones,"LAMINA ENMARCADA CON IMAGEN A COLOR DE GRANADEROS A CABALLO, 1812, BANDERA DEL EJERCITO DE LOS ANDES, Y BANDERA NACIONAL- ""SERIE DE UNIFORMES MILITARES DESDE LA CONQUISTA HASTA 1853""- E. MARENCO- 1966",38X27,,,Tiene virio roto en la parte inferior,,1,2011-06-17,27,38,,,Regular,,False,https://drive.google.com/drive/folders/12vNyp43SPh1fz9atuecAjvuOsX1kiSHe?usp=sharing,
B.M,958,7478,LAMINA DE TRIPULANTES DE MARINA,,19E,,,,ilustraciones,"lamina enmarcada con vidrio, con imagen de tripulante extranjero, viejo lobo de mar, oficial de marina de guerra 1814, marineros del 1806, tripulante criollo

----soldado ,  ejercito , vestimenta , arma ,",38x17cm,"madera, vidrio y cartón","e Marenco, productos el Gaita",,1966,1,2017-11-30,17,38,,,Bueno,,False,,
B.M,959,7479,LAMINA DE LOS GAUCHOS DE GUEMES,,19E,,,,ilustraciones,"lamina enmarcada con vidrio con imagen de, gauchos de Güemes, salta 1814

--- soldado , gaucho , boleadora , montura, ejercito",38x17,"madera, vidrio y cartón","e Marenco, productos el Gaita",,1966,1,2017-11-30,17,38,,,Bueno,,False,,
B.M,960,7480,LAMINA DE INGENIEROS DEL EJERCITO DE LOS ANDES 1816,,19E,,,,ilustraciones,"lamina enmarcada con vidrio y madera, con imagen de ""ingenieros del ejercito de los andes 1816

---San Martin , montaña , mula , herramientas",38x27cm,"madera, vidrio y cartón","e Marenco, productos el Gaita",,1966,1,2017-11-30,27,38,,,Bueno,,False,,
JUL S,961,7481,OFICIAL DEL CUERPO DE BAQUEANOS 1816,,,,,,ilustraciones,"LAMINA ENMARCADA CON IMAGEN ACOLOR DE OFICIAL DEL CUERPO DE BAQUEANOS, EJERCITO DE LOS ANDES 1816, REGIMIENTO DE INFANTERIA, RIO DE LA PLATA  1823, EL ""PARTE URGENTE…""- ""SERIE DE UNIFORMES MILITARES DESDE LA CONQUISTA HASTA 1853""- E. MARENCO- 1966",38X27,,,,,1,2011-06-17,27,38,,,Bueno,,False,,
B.M,962,7482,LAMINA COLORADOS DEL MONTE,,19E,,,,ilustraciones,"lamina enmarcada con vidrio, con imagen del 5° de colorados 1820

--- caballo , montura , soldado, gaucho, ejercito, Güemes, guemes , espada , arma",38x27cm,"madera, vidrio , papel y cartón",E. MARENCO,"presenta marcacion por golpe en el sector derecho del marco, presenta deposito de pegamento en el sector superior izquierdo del marco, presenta reconstitucion de trasera con cartulina blanca",1966,1,2017-11-30,27,38,,,Regular,,False,,
JUL S,963,7483,MAPA FISICO EN RELIEVE,,,,,,mapas,"MAPA FISICO EN RELIEVE A COLOR DEL SUR DE LA ARGENTINA, MUESTRA LAS MONTAÑAS, RIOS Y MARES.",168X126,,,,,0,2011-06-17,126,168,,,Bueno,,False,,
E.S.,964,7484,CUADERNO 2° CLAUDIO VIVANCO DE COMUNICACIONES,,21F,sala6,69.0,,elementos escolares,Cuaderno de 2° grado turno mañana de claudio vivanco de comunicaciones del instituto san felipe neri,"32,5x21cm",PAPEL Y CARTON,,Presenta oxidacion y humedad.,1979,1,2018-12-07,21,"32,5",,,Regular,,False,,
E.S.,965,7485,CUADERNO DE 6° B DE CLAUDIO VIVANCO INGLES,,21F,sala6,69.0,,elementos escolares,Cuaderno de 6° grado de ingles de claudio vivanco,"32,5x21cm",PAPEL Y CARTON,,Presenta oxidacion y humedad.,1983,1,2018-12-07,21,"32,5",,,Regular,,False,,
JUL S,966,7486,RETRATO Bartolomé Mitre,,18C,sala6,,,tabla policromada,TACO DE GRABADO CON IMAGEN A COLOR DE Bertolomé Mitre.KAL NOESTERNIGG,39X24,,,,,1,2011-06-22,24,39,,,Bueno,,False,https://drive.google.com/drive/folders/1Rp1nHicRAMqotXSs1JshdlbpiJTYlGK2?usp=sharing,
JUL S,967,7487,foto de casamiento,,18A,,,,fotografías,foto de casamiento,33x25,,,,,1,2011-06-22,25,33,,,Bueno,,False,https://drive.google.com/drive/folders/1uzHErp9HxNEU9q1z_OpSjdhCtVCm81Ke?usp=sharing,
JUL S,968,7488,conquista de América,sector 44B,,,,,estampas,"ESTAMPA DE GRABADO ENMARCADO EN MADERA, PINTADA EN COLOR NEGRO CON RIBETES DORADOS, QUE REPRESENTA LA CONQUISTA DE AMERICA. SE VISUALIZA HOMBRES EN BARCOS Y EN LA COSTA",34X38,,,,,1,2011-06-22,38,34,,,Bueno,,False,,
JUL S,969,7489,estampa casa historica de Tucumán,sector 30B,,,,,estampas,"IMPRESIÓN DE ESTAMPA CON IMAGEN DE LA CASA DE TUCUMAN 1816- 1845- KN- ""HOMENAJE DEL CONSEJO NACIONAL DE EDUCACION""- SECRETARIA DE EDUCACION DE LA NACION",44X32,,KARL NOISTERNIGG,,1948,1,2011-06-24,32,44,,,Bueno,,False,,
MC,970,7490,MITOLOGÍA: LOS DIOSES QUE HICIERON LA TIERRA.,SALA N° 8,,sala8,,,taco grabado,"IMAGEN HORIZONTAL: LOS 14 DIOSES REPRESENTADOS EN UN ENTORNO DE MONTAÑAS, UN SOL RESPLANDECIENTE, SEMBRADOS, RÍOS Y CASCADA, VOLCAN Y SUBSUELO.ZEUS, POSEIDÓN, HADES, HESTIA, DEMETER, HERA, ARES, HEFESTO, HERMES, DIONISIO, AFRODITA, ATENEA, ARTEMISA Y APO",65X29,LINOLEUM SOBRE MADERA,KARL NOISTERNIGG,,,1,2017-07-13,29,65,,,Bueno,,False,,
E.S.,971,7491,CASA DONDE SE JURO LA INDEPENDENCIA,,14B,,,,tabla policromada,"GRABADO A COLOR DEL FRENTE DE LA CASA DONDE SE JURO LA INDEPENDENCIA, Tucumán.

---noroeste",80X78,MADERA,,"Al frente la madera presenta fragmentacion en elgunos sectores de su superficie. Tiene marco dorado.Tiene una rayadura en la parte central superior. Tiene una rayadura en ala superior izquierda. Al dorso tiene un herraje para colgar. Tiene una etiqueta de 3x1cm en la parte superior izquierda. Tiene una etiqueta en el margen superior derecho con la inscripcion ""muestra RVP, Legado pedagogico, 18, Casa de Tucuman"". Tiene en la parte inferior sobre todo el marco fragmentacion de la madera y faltante de material. Tiene una rayadura de 7cm en la parte inferior izquierda. Tiene una mancha de humedad o pegamento en el margen inferior derecho.",,1,2017-10-17,78,80,,,Bueno,,False,https://drive.google.com/drive/folders/1Sq-6mES4WUrcB-BTo_w1OPER_i1_MUld?usp=sharing,
Jonathan Mayán,972,7492,PARLAMENTO DE SAN MARTIN CON LOS INDIOS PEHUENCHES,,,sala7,,Museo Bernasconi; San Martin,tabla policromada,"imagen CON EL PARLAMENTO DE SAN MARTIN CON LOS INDIOS PEHUENCHES; ARDID TITULADO: ""LA CONSULTA"". SE VISUALIZA EL EJERCITO DE SAN MARTIN, LOS INDIOS Y LOS ANDES DE FONDO.",78X124,MADERA,KARL NOISTERNIGG,"Posee marco dorado.Posee craquelado en toda la superficie frontal, . Posee decoloracion en toda la superficie frontal,  Tiene una rayadura en el sector inferior central, vertical de 2cm.  Tiene una rayadura en la parte inferior derecha en forma vertical, de 4cm.marcacion por golpe en el sector inferior izquierdo de 1cm, cisura en el margen inferior izquierdo, vertical de 12 cm . Al dorso posee marcas de humedad en toda la superficie, marca. una perforacion en el marco central inferior  de 2,5 cm de profundidad, posee perforacion en el marco central inferior de 0,5cm de profundidad. en el marco inferior izquierdo posee perforacion de 3,5cm de profundidad, posee perforacion de 2cm, posee perforacion de 1cm .perforacion en el marco del sector derecho central de 1,5cm de profundidad, posee perforacion en el sector derecho central de 0,5cm de diametro, , en el marco superior derecho posee perforacion de 2 cm, en el sector central superior posee dos perforaciones de 1,5cm y 0,5 respectivamente, posee dosperforaciones en el marco superior central , de 2cm .posee perforacion en el marco izquierdo central de 3,5cm de profundidad.",,1,2017-10-23,124,78,3,,Bueno,,False,,
E.S.,973,7493,DESCUBRIMIENTO DE AMERICA Y VIAJES DE COLON,,14A,,,,tabla policromada,MAPA  A COLOR CON LOS VIAJES DE COLON Y DESCUBRIDORES POSTERIORES DE AMERICA Y DEL RIO DE LA PLATA. CONTIENE REFERENCIAS Y ESCALAS- TRABAJO DE CONSERVACION AÑO 1979- REALIZO GIOCONDA ALBESI,129X64,MADERA,KARL NOISTERNIGG,Presenta marcacion por golpe de 2x2cm en la parte central superior frontal. Presenta marcacion en la parte izquierda central frontal de 7x6cm.,,1,2019-09-10,64,129,,,Regular,,False,,
JUL S,974,7494,EL TABACO,sala Cs Naturales,,,,,elementos escolares,"FRASCOS DE TABACO, HOJA DE LA MISMA PLANTA, CIGARROS ARMADOS, TABACO DE MASCAR- CAJA DE CARTON CON VIDRIO EN CARA SUPERIOR- LIBRERÍA DEL COLEGIO- CABAUT Y CIA- BUENOS AIRES",19X26,VIDRIO,,,,1,2011-06-24,26,19,,,Bueno,,False,,
Jonathan Mayán,975,7495,maqueta casa histórica de tucumán,,28B,,256.0,,elementos escolares,"maqueta de la arquitectura , acompañada de 8 personajes de solapa 


---- escuela , escolar , material didactico , independencia , 1916","19x30x5,5cm",carton madera,"D Valle, colección billiken","presenta deposito de pegamento y papel de diario en el sector posterior, en los bordes, la base presenta una fisura de 5,5cm en el sector central, la base presenta fisura en la base de 2,5cm en el sector sentral",,1,2017-10-03,30,19,"5,5",,Bueno,,False,,
JUL S,976,7496,MAQUETA  FRENTE DE LA CASA DE TUCUMAN,,27T,,246.0,,elementos escolares,"MAQUETA DE CARTON A COLOR DE PERSONAS SALIENDO DE LA CASA DE TUCUMAN Y OTRAS FELICITANDOLAS, ALGUNAS A PIE Y OTRAS A CABALLO-POSEE BASE CUADRANGULAR DE MADERA NEGRA- MAQUETA ARMADA PARA EL MUSEO DE LAS ESCUELAS- BILLIKEN- 1940


independencia",16X23,CARTON FORRADO EN COLOR NEGRO,,,,1,2011-06-24,23,16,,,Bueno,,False,,
E.S.,977,7497,ESCUDO DE LA PROVINCIA DE JUJUY,,20A,,,,ilustraciones,LAMINA A COLOR ENMARCADA DEL ESCUDO DE LA PROVINCIA DE JUJUY,34X55,"PAPEL, VIDRIO Y MADERA",,"Al frente, el marco presentta una rayadura de 2cm en el la parte central derecha. Tiene una rayadura en la parte superior derecha. Tiene una rayadura en la parte central izquierda.Al dorso, el papel  tiene manchas de humedad. Tambeien tiene esta quebrado e papel en toda la linea del marco.",,1,2017-10-09,55,34,,,Bueno,,False,https://drive.google.com/drive/folders/14ShTX2H6_xzUB8lQLiEVzugd4IEEllJ1?usp=sharing,
FER.V,978,7498,ESCUDO DE LA PROVINCIA DE SALTA,,20B,,,,ilustraciones,LAMINA A COLOR ENMARCADA DEL ESCUDO DE LA PROVINCIA DE SALTA. Ilustración a mano.,51X34,"PAPEL, madera, vidrio, pintura",,,,1,2011-06-28,34,51,2,,Bueno,,False,https://drive.google.com/drive/folders/14XQ436WWqZ4V2_1_hED-STzjzq_clJhH?usp=sharing,
FER.V,979,7499,ESCUDO DEL LA PROVINCIA DE TUCUMAN,,20B,,,,ilustraciones,LAMINA A COLOR ENMARCADA DEL ESCUDO DE LA PROVINCIA DE TUCUMAN,51X34,PAPEL,,,,1,2011-06-28,34,51,,,Bueno,,False,,
FER.V,980,7500,LAS ISLAS MALVINA SON ARGENTINAS,,,,,,laminas,"LAMINA A COLOR ENMARCADA CON DIBUJOS DE LAS ISLAS MALVINAS Y SUR PATAGONICO, CON RETRATOS DE  ESTEBAN GOMEZ, MAGALLANES Y LUIS R. VERNET, ADEMAS CONTIENE RESEÑA- ANIANO LISA-  COLECCIÓN CALENDARIO ESCOLAR- ED. ESTRADA- BUENOS AIRES.",54X37,PAPEL,,,,1,2011-06-28,37,54,,,Bueno,,False,,
FER.V,981,7501,DIA DEL ANIMAL,,20B,,,,laminas,"LAMINA A COLOR ENMARCADA CON DIBUJOS DE DOS NIÑAS Y UN INFANTE JUNTO A UN CANINO Y UN CABALLO, CONTIENE RESEÑA- JOSE CLEMEN- ED. ESTRADA- BUENOS AIRES",56X39,PAPEL,,,,1,2011-06-28,39,56,,,Bueno,,False,https://drive.google.com/drive/folders/1ysxiB9WsI7UwiwOVy4XaYJwbt1PUz1ca?usp=sharing,
E.S.,982,7502,EPOCA DE ROSAS,,18C,,,,tabla policromada,"TACO DE GRABADO CON IMAGEN A COLOR DE TRES GAUCHOS FEDERALES JINETANDO EN EL CAMPO- NK- MINISTERIO DE EDUCACION Y JUSTICIA- SALA 6- "" RESTITUIDA EN 1985",40X50,MADERA,,"Al frente, presenta decoloracion en toda la superficie. Presentna craquelacion en la parte inferior derecha. Tiene una marcacion por golpe de 5cm en forma vertical descendente en la parte superior central. Presenta marcacion por golpe en la parte inferior izquierda en forma vertical de 10cm. Al dorso, presenta herraje en la parte superior central. tiene una etiqueta de 3x2 en la parte superior derecha. presenta marcaciones en todo el perimetro posterior. Tiene una etiqueta de 10x7cm en la parte inferior izquierda con la inscripcion"" Ministerio de Educacion y justicia, Direccion nacional de educacion primaria, Instituto Felix Bernasconi, Museo Geografico Dr. Juan B. Teran, Sala 6 restituida en el año 1985, tabla grabada por Rosario Vera peñaloza"". Tiene uan perforacion en el marco en la parte superior central de 0,5cm de diametro. Tiene una perforacion en la aprte superior izquierda de 0,5cm de diametro.",,1,2018-04-24,50,40,,,Bueno,,False,https://drive.google.com/drive/folders/1Sj6hgIKa3IGm9YHvt4QEqx_s_xJdTXHQ?usp=sharing,
FER.V,983,7503,PARQUE LEZAMA,,17D,,,,tabla policromada,"TACO DE GRABADO CON IMAGEN DE UN PARQUE QUE CONTIENE UN ESTANQUE, UNA EDIFICACION, ARBOLES Y UN CAMINO.

---pampa, arquitectura, bs as",44X65,MADERA,,,,1,2011-06-28,65,44,,,Bueno,,True,https://drive.google.com/drive/folders/1ScV1Da5qvELdN6reTDWo64QQ7wpO-R5B?usp=sharing,
Jonathan Mayán,984,7504,Mapa en relieve de la Argentina sin división politica hidrografico,,4B,,,,mapas,mapa en relieve de Argentina sin divición política. Escala 1:5000000.Presenta rios y lagos,82X47,"MADERA, papel, metal y pintura",,Presenta alabeo.presenta faltante de material papel en el sector superior derecho frontal. Presenta marcación por golpe en las esquinas inferiores derechas e izquierdas.,,1,2020-11-13,47,82,4,,Bueno,,False,,
JUL S,985,7505,LA VIDA EN EL CHACO SALTEÑO,,14B,,,Museo Bernasconi; Salta,tabla policromada,"TABLA GRABADOA CON IMAGEN A COLOR DE UN JAGUARETE Y LA SELVA ALREDEDOR- ROSARIO VERA PEÑALOZA- SALA 4 ""JUAN B. TERAN""- MINISTERIO DE EDUCACION Y JUSTICIA",78X80,MADERA,,,,1,2011-06-29,80,78,,,Bueno,1,False,https://drive.google.com/open?id=1Jgbm2ZgOsnsAbo41iyBcCcWVfjVDZjpM&authuser=museo.bernasconi%40bue.edu.ar&usp=drive_fs,
a.a,986,7506,La casa del recuerdo 1852,,11B,,,,tabla policromada,"Tabla policromada circular, en el centro una tabla rectaggular con la imagen de la casa del recuerdo, en su alrededor 12 tablas aboladas con retratos de busto de : 
dr. Vicente López. Gral. Pedro Pascual Segura. Gral Pablo Lucero.
Sr. Manuel Taboada. Sr Domingo Crespo. Gral Benjamin Virasoro. Gral. Justo de Urquiza. Dr. José Benito Barcena. Dr. Tomás Arias. Gral. Celedonio Gutiérrez. Sr. Manuel Vicente Bustos. Gral. Nazario Benavides.
TABLA GRABADA CON IMÁGENES A COLOR DE LA CASA DEL ACUERDO ALREDEDOR DEL GRABADO CENTRAL TABLAS CIRCULARES CON LOS NOMBRES DE LOS INTEGRANTES DEL ACUERDO",102X102,"Madera, Pintura Metal",,"Presenta herraje en el reverso
precenta etiqueta ilegible en el sector superior izquierdo en el reverso
precenta 1 incicion de xilofago en el sector inferior izquierso
presenta faltante de material madera en el sector inferior izquierdo y derecho.",,1,2021-01-22,102,102,3,,Bueno,,False,,
JUL S,987,7507,TUCUMAN- INDUSTRIA AZUCARERA,,14B,,,,tabla policromada,"TABLA GRABADA CON IMAGEN COLOR DE COLOMBRES, FUNDADOR DE LA INDUSTRIA DEL AZUCAR, JESUITAS QUE COMENZARON EL CULTUVO, TRAPICHE DE CAÑA DE AZUCAR, CAÑAVERAL Y CORTE DE LA CAÑA- ROSARIO VERA PEÑALOSA- SALA 4 ""JUAN B. TERAN"" - MINISTERIO DE EDUCACION Y JUSTI
---noroeste",50X80,MADERA,,,,1,2011-06-29,80,50,,,Bueno,,False,https://drive.google.com/drive/folders/1SQeq7gx7qOQR5r_64U76MFVrQoAggGH4?usp=sharing,
,988,7508,CAMINO DE LA CHILCA - CATAMARCA,,14B,pasillo sala 1-2,,,tabla policromada,"TABLA GRABADA CON IMAGEN A COLOR DEL CAMINO DE LA CHIRCA EN UN CERRO. SE VISUALIZA EN EL UN AUTO, PERSONAS Y ANIMALES Y ALREDEDOR ARBOLES- ROSARIO VERA PEÑALOZA- SALA 4 ""JUAN B. TERAN""- MINISTERIO DE EDUCACION Y JUSTICIA",80X80,MADERA,,,,1,,80,80,,,Bueno,,True,https://drive.google.com/drive/folders/100uGLSZTSKSdTD9W11voQmnFyPC_sxVJ?usp=sharing,
